UDI, Qualidade, TemperaturaDoAr[°C], TemperaturaDoProcesso[°C], VelocidadeDeRotacao[rpm], Torque[Nm], DesgasteDaFerramenta[min], Saida, TipoDefalha
238, Media, 24, 85, 1552, 36.6, 190, 0, SemFalha
239, Baixa, 24, 75, 1393, 50.3, 193, 0, SemFalha
240, Baixa, 24, 85, 1611, 30.6, 195, 0, SemFalha
241, Media, 24, 85, 1339, 51.6, 197, 0, SemFalha
242, Baixa, 24, 85, 1777, 24.3, 200, 0, SemFalha
243, Baixa, 24, 85, 1348, 58.8, 202, 1, Sobrecarga
244, Baixa, 24, 85, 1442, 44.1, 204, 0, SemFalha
245, Media, 24, 85, 1395, 49.1, 206, 0, SemFalha
246, Media, 24, 75, 1627, 31.4, 209, 0, SemFalha
247, Baixa, 24, 75, 1585, 33.5, 212, 0, SemFalha
248, Baixa, 24, 85, 1469, 45.5, 214, 0, SemFalha
249, Baixa, 24, 85, 1362, 56.8, 216, 1, Sobrecarga
250, Baixa, 24, 85, 1405, 56.2, 218, 1, Sobrecarga
251, Baixa, 24, 85, 1662, 32.7, 0, 0, SemFalha
252, Media, 24, 85, 1466, 42.6, 2, 0, SemFalha
253, Baixa, 24, 85, 1620, 35.8, 5, 0, SemFalha
254, Baixa, 24, 85, 1357, 48.2, 7, 0, SemFalha
255, Baixa, 24, 85, 1514, 37.9, 9, 0, SemFalha
256, Baixa, 24, 85, 1489, 40.4, 11, 0, SemFalha
257, Baixa, 24, 95, 1331, 63, 13, 0, SemFalha
258, Baixa, 24, 85, 1615, 29.5, 15, 0, SemFalha
259, Baixa, 24, 95, 1482, 37.9, 17, 0, SemFalha
260, Media, 24, 95, 1420, 63.9, 19, 1, Alimentacao
261, Media, 25, 5, 1522, 49.1, 22, 0, SemFalha
262, Baixa, 24, 95, 1654, 32.1, 25, 0, SemFalha
263, Media, 24, 95, 1736, 26.8, 27, 0, SemFalha
264, Media, 24, 85, 1587, 32.3, 30, 0, SemFalha
265, Baixa, 24, 95, 1390, 47.5, 33, 0, SemFalha
266, Baixa, 24, 85, 1454, 37.1, 35, 0, SemFalha
267, Alta, 24, 85, 1440, 43.7, 37, 0, SemFalha
268, Baixa, 24, 75, 1954, 21.1, 42, 0, SemFalha
269, Alta, 24, 75, 1800, 24.8, 44, 0, SemFalha
270, Baixa, 24, 85, 1524, 37, 49, 0, SemFalha
271, Alta, 24, 85, 1520, 39.6, 51, 0, SemFalha
272, Media, 24, 95, 1452, 40.8, 56, 0, SemFalha
273, Baixa, 24, 95, 1484, 40.4, 59, 0, SemFalha
274, Baixa, 24, 95, 1426, 46, 61, 0, SemFalha
275, Baixa, 24, 95, 1652, 28.5, 63, 0, SemFalha
276, Baixa, 24, 85, 1401, 54.7, 65, 0, SemFalha
277, Media, 24, 85, 1750, 26.6, 67, 0, SemFalha
278, Alta, 24, 85, 1479, 50.7, 70, 0, SemFalha
279, Media, 24, 85, 1620, 29.4, 75, 0, SemFalha
280, Baixa, 24, 85, 1819, 23.4, 78, 0, SemFalha
281, Media, 24, 95, 1456, 43.7, 80, 0, SemFalha
282, Baixa, 24, 95, 1626, 36.5, 83, 0, SemFalha
283, Media, 24, 95, 1390, 49.8, 85, 0, SemFalha
284, Baixa, 25, 5, 1469, 43, 88, 0, SemFalha
285, Baixa, 25, 5, 2051, 19.2, 90, 0, SemFalha
286, Baixa, 25, 5, 1568, 36, 92, 0, SemFalha
287, Baixa, 25, 5, 1589, 33.2, 94, 0, SemFalha
288, Baixa, 25, 5, 1805, 31.6, 96, 0, SemFalha
289, Alta, 25, 5, 1385, 42.2, 98, 0, SemFalha
290, Baixa, 24, 95, 1436, 46.7, 103, 0, SemFalha
291, Baixa, 24, 95, 1438, 45.6, 105, 0, SemFalha
292, Baixa, 24, 85, 1473, 42.6, 107, 0, SemFalha
293, Baixa, 24, 95, 1335, 40.2, 109, 0, SemFalha
294, Alta, 24, 95, 1392, 44.8, 111, 0, SemFalha
295, Media, 24, 95, 1372, 51.1, 116, 0, SemFalha
296, Media, 24, 95, 1716, 30.7, 119, 0, SemFalha
297, Baixa, 24, 85, 1395, 46.2, 122, 0, SemFalha
298, Baixa, 24, 85, 1713, 25.3, 124, 0, SemFalha
299, Alta, 24, 75, 2129, 18.7, 126, 0, SemFalha
300, Media, 24, 65, 1567, 35.6, 131, 0, SemFalha
301, Baixa, 24, 65, 1622, 38.3, 134, 0, SemFalha
302, Baixa, 24, 55, 1740, 27.1, 136, 0, SemFalha
303, Alta, 24, 65, 1512, 35.1, 138, 0, SemFalha
304, Media, 24, 65, 1479, 43.5, 143, 0, SemFalha
305, Baixa, 24, 65, 1737, 27.5, 146, 0, SemFalha
306, Baixa, 24, 65, 2129, 19.2, 148, 0, SemFalha
307, Baixa, 24, 65, 1374, 47.1, 150, 0, SemFalha
308, Media, 24, 65, 1579, 36.6, 152, 0, SemFalha
309, Baixa, 24, 75, 1305, 47.2, 155, 0, SemFalha
310, Media, 24, 75, 1449, 40.8, 157, 0, SemFalha
311, Alta, 24, 85, 1526, 41.8, 160, 0, SemFalha
312, Media, 24, 85, 1453, 44.1, 165, 0, SemFalha
313, Baixa, 24, 75, 1468, 36, 168, 0, SemFalha
314, Baixa, 24, 85, 1313, 50.8, 170, 0, SemFalha
315, Media, 24, 75, 1300, 53, 172, 0, SemFalha
316, Baixa, 24, 75, 1646, 40.6, 175, 0, SemFalha
317, Baixa, 24, 65, 1714, 33.2, 177, 0, SemFalha
318, Baixa, 24, 65, 1685, 28.4, 179, 0, SemFalha
319, Baixa, 24, 65, 1512, 39.9, 181, 0, SemFalha
320, Baixa, 24, 65, 1612, 32.1, 183, 0, SemFalha
321, Alta, 24, 65, 1550, 38.2, 185, 0, SemFalha
322, Baixa, 24, 65, 1518, 32.5, 190, 0, SemFalha
323, Baixa, 24, 65, 1448, 40, 192, 0, SemFalha
324, Baixa, 24, 65, 1561, 46.3, 194, 0, SemFalha
325, Media, 24, 65, 1488, 41.9, 196, 0, SemFalha
326, Baixa, 24, 65, 1699, 27.8, 199, 0, SemFalha
327, Baixa, 24, 55, 1501, 41.4, 201, 0, SemFalha
328, Baixa, 24, 55, 1373, 56.7, 203, 1, Sobrecarga
329, Alta, 24, 45, 1703, 31.4, 205, 0, SemFalha
330, Alta, 24, 55, 1720, 29.9, 210, 0, SemFalha
331, Media, 24, 45, 1398, 41.9, 215, 0, SemFalha
332, Media, 24, 45, 1391, 51.9, 218, 0, SemFalha
333, Media, 24, 45, 1538, 40.2, 0, 0, SemFalha
334, Baixa, 24, 35, 1647, 31.3, 3, 0, SemFalha
335, Media, 24, 35, 1469, 44.8, 5, 0, SemFalha
336, Baixa, 24, 25, 1749, 25.9, 8, 0, SemFalha
337, Media, 24, 45, 1995, 20.5, 10, 0, SemFalha
338, Baixa, 24, 45, 1742, 27.7, 13, 0, SemFalha
339, Baixa, 24, 35, 1563, 38.2, 15, 0, SemFalha
340, Media, 24, 35, 1713, 32.2, 17, 0, SemFalha
341, Baixa, 24, 25, 1474, 39.4, 20, 0, SemFalha
342, Media, 24, 25, 1530, 32.6, 22, 0, SemFalha
343, Baixa, 24, 25, 1471, 46.5, 25, 0, SemFalha
344, Baixa, 24, 35, 1388, 48.6, 27, 0, SemFalha
345, Media, 24, 35, 2448, 13.8, 29, 0, SemFalha
346, Baixa, 24, 35, 1585, 32.9, 32, 0, SemFalha
347, Media, 24, 35, 1459, 45.2, 34, 0, SemFalha
348, Baixa, 24, 35, 1544, 40.8, 37, 0, SemFalha
349, Baixa, 24, 45, 1617, 31.7, 39, 0, SemFalha
350, Baixa, 24, 45, 1595, 34.3, 41, 0, SemFalha
351, Alta, 24, 45, 1400, 44.3, 43, 0, SemFalha
352, Media, 24, 45, 1611, 31, 48, 0, SemFalha
353, Media, 24, 45, 1507, 46, 51, 0, SemFalha
354, Alta, 24, 35, 1674, 30, 54, 0, SemFalha
355, Baixa, 24, 45, 1658, 34.3, 59, 0, SemFalha
356, Baixa, 24, 45, 1623, 36.9, 61, 0, SemFalha
357, Media, 24, 45, 1398, 48.9, 63, 0, SemFalha
358, Baixa, 24, 45, 1517, 34.2, 66, 0, SemFalha
359, Media, 24, 45, 1467, 36.7, 68, 0, SemFalha
360, Media, 24, 45, 1567, 34.6, 71, 0, SemFalha
361, Media, 24, 35, 1521, 38.2, 74, 0, SemFalha
362, Baixa, 24, 35, 1596, 36.8, 77, 0, SemFalha
363, Alta, 24, 45, 1640, 30.9, 79, 0, SemFalha
364, Baixa, 24, 45, 1438, 47.8, 84, 0, SemFalha
365, Baixa, 24, 45, 1407, 55.2, 86, 0, SemFalha
366, Baixa, 24, 45, 1353, 57.5, 88, 0, SemFalha
367, Media, 24, 45, 1552, 40.9, 90, 0, SemFalha
368, Media, 24, 45, 1569, 38.3, 93, 0, SemFalha
369, Baixa, 24, 35, 1489, 39.5, 96, 0, SemFalha
370, Alta, 24, 35, 1587, 36.1, 98, 0, SemFalha
371, Media, 24, 35, 1622, 37.2, 103, 0, SemFalha
372, Baixa, 24, 35, 1604, 38.1, 106, 0, SemFalha
373, Media, 24, 25, 1405, 51.7, 108, 0, SemFalha
374, Baixa, 24, 25, 1412, 42, 111, 0, SemFalha
375, Baixa, 24, 25, 1431, 43, 113, 0, SemFalha
376, Baixa, 24, 25, 1533, 37.4, 115, 0, SemFalha
377, Media, 24, 25, 1401, 51.9, 117, 0, SemFalha
378, Media, 24, 25, 1424, 53.9, 120, 0, SemFalha
379, Baixa, 24, 15, 1754, 29.4, 123, 0, SemFalha
380, Baixa, 24, 15, 1754, 26.8, 125, 0, SemFalha
381, Baixa, 24, 35, 2564, 12.8, 127, 1, Alimentacao
382, Baixa, 24, 35, 1546, 40.4, 129, 0, SemFalha
383, Baixa, 24, 35, 1335, 48, 131, 0, SemFalha
384, Media, 24, 35, 1842, 27, 133, 0, SemFalha
385, Baixa, 24, 35, 1712, 26.8, 136, 0, SemFalha
386, Media, 24, 45, 1414, 45.4, 138, 0, SemFalha
387, Baixa, 24, 45, 1319, 50.9, 141, 0, SemFalha
388, Baixa, 24, 55, 1249, 60.4, 143, 0, SemFalha
389, Baixa, 24, 45, 1455, 48.2, 145, 0, SemFalha
390, Media, 24, 45, 1408, 54.8, 147, 0, SemFalha
391, Baixa, 24, 45, 1460, 46.7, 150, 0, SemFalha
392, Baixa, 24, 45, 1491, 38.1, 152, 0, SemFalha
393, Media, 24, 45, 1490, 43.4, 154, 0, SemFalha
394, Media, 24, 35, 1350, 52.2, 157, 0, SemFalha
395, Baixa, 24, 35, 1528, 39.9, 160, 0, SemFalha
396, Baixa, 24, 25, 1571, 37.7, 162, 0, SemFalha
397, Baixa, 24, 25, 1490, 42.6, 164, 0, SemFalha
398, Media, 24, 25, 1774, 28.9, 166, 0, SemFalha
399, Alta, 24, 25, 1502, 43.6, 169, 0, SemFalha
400, Baixa, 24, 25, 1392, 49.7, 174, 0, SemFalha
401, Baixa, 24, 25, 2100, 16.9, 176, 0, SemFalha
402, Baixa, 24, 35, 1722, 30.4, 178, 0, SemFalha
403, Baixa, 24, 25, 1678, 32.3, 180, 0, SemFalha
404, Baixa, 24, 15, 1273, 59.8, 182, 0, SemFalha
405, Baixa, 24, 15, 1297, 45.9, 184, 0, SemFalha
406, Baixa, 24, 15, 1350, 57.6, 186, 0, SemFalha
407, Baixa, 24, 25, 1439, 51.9, 188, 0, SemFalha
408, Media, 24, 25, 1600, 42.1, 190, 0, SemFalha
409, Media, 24, 25, 1434, 44.4, 193, 0, SemFalha
410, Baixa, 24, 25, 1459, 41.3, 196, 0, SemFalha
411, Media, 24, 35, 1472, 44.9, 198, 0, SemFalha
412, Baixa, 24, 35, 1429, 44.3, 201, 0, SemFalha
413, Baixa, 24, 35, 1388, 48.2, 203, 0, SemFalha
414, Baixa, 24, 25, 1573, 34.5, 205, 0, SemFalha
415, Baixa, 24, 25, 1588, 32.5, 207, 0, SemFalha
