UDI, TemperaturaDoAr[°C], TemperaturaDoProcesso[°C], VelocidadeDeRotacao[rpm], Torque[Nm], DesgasteDaFerramenta[min], Saida
207,25,35,1609, 35.3,117,0
208,25,25,1421, 60.7,119,1
209,25,25,1591, 36.7,122,0
210,25,25,1477,44,124,0
211,25,25,1523, 36.1,126,0
212,25,35,1575, 33.9,128,0
213,25,25,1344, 52.9,130,0
214,25,25,1386, 44.9,135,0
215,25,15,1589, 37.1,137,0
216,25,15,1548, 40.3,140,0
217,25,15,1499, 38.3,142,0
218,25,15,1664, 31.6,144,0
219,25,15,1447, 38.1,146,0
220,25,15,1434, 46.2,148,0
221,25,15,1416, 52.7,151,0
222,25,25,1827, 24.3,153,0
223,25,25,1304,45,158,0
224,25,25,1569, 34.4,160,0
225,25,15,1584, 29.3,162,0
226,25,15,1362, 53.8,164,0
227,25,15,1329, 49.2,166,0
228,25,15,1539, 36.1,168,0
229,25,15,1629, 37.1,170,0
230,25,15,1538, 32.2,173,0
231,25,15,1570, 34.8,175,0
232,25,15,1408, 43.1,177,0
233,25,5,1424, 47.6,179,0
234,25,5,1512, 34.9,181,0
235,25,5,1478, 42.9,183,0
236,24,95,1680, 33.7,185,0
237,24,95,1495, 38.7,188,0
238,24,85,1552, 36.6,190,0
239,24,75,1393, 50.3,193,0
240,24,85,1611, 30.6,195,0
241,24,85,1339, 51.6,197,0
242,24,85,1777, 24.3,200,0
243,24,85,1348, 58.8,202,1
244,24,85,1442, 44.1,204,0
245,24,85,1395, 49.1,206,0
246,24,75,1627, 31.4,209,0
247,24,75,1585, 33.5,212,0
248,24,85,1469, 45.5,214,0
249,24,85,1362, 56.8,216,1
250,24,85,1405, 56.2,218,1
251,24,85,1662, 32.7,0,0
252,24,85,1466, 42.6,2,0
253,24,85,1620, 35.8,5,0
254,24,85,1357, 48.2,7,0
255,24,85,1514, 37.9,9,0
256,24,85,1489, 40.4,11,0
257,24,95,1331,63,13,0
258,24,85,1615, 29.5,15,0
259,24,95,1482, 37.9,17,0
260,24,95,1420, 63.9,19,1
261,25,5,1522, 49.1,22,0
262,24,95,1654, 32.1,25,0
263,24,95,1736, 26.8,27,0
264,24,85,1587, 32.3,30,0
265,24,95,1390, 47.5,33,0
266,24,85,1454, 37.1,35,0
267,24,85,1440, 43.7,37,0
268,24,75,1954, 21.1,42,0
269,24,75,1800, 24.8,44,0
270,24,85,1524,37,49,0
271,24,85,1520, 39.6,51,0
272,24,95,1452, 40.8,56,0
273,24,95,1484, 40.4,59,0
274,24,95,1426,46,61,0
275,24,95,1652, 28.5,63,0
276,24,85,1401, 54.7,65,0
277,24,85,1750, 26.6,67,0
278,24,85,1479, 50.7,70,0
279,24,85,1620, 29.4,75,0
280,24,85,1819, 23.4,78,0
281,24,95,1456, 43.7,80,0
282,24,95,1626, 36.5,83,0
283,24,95,1390, 49.8,85,0
284,25,5,1469,43,88,0
285,25,5,2051, 19.2,90,0
286,25,5,1568,36,92,0
287,25,5,1589, 33.2,94,0
288,25,5,1805, 31.6,96,0
289,25,5,1385, 42.2,98,0
290,24,95,1436, 46.7,103,0
291,24,95,1438, 45.6,105,0
292,24,85,1473, 42.6,107,0
293,24,95,1335, 40.2,109,0
294,24,95,1392, 44.8,111,0
295,24,95,1372, 51.1,116,0
296,24,95,1716, 30.7,119,0
297,24,85,1395, 46.2,122,0
298,24,85,1713, 25.3,124,0
299,24,75,2129, 18.7,126,0
300,24,65,1567, 35.6,131,0
301,24,65,1622, 38.3,134,0
302,24,55,1740, 27.1,136,0
303,24,65,1512, 35.1,138,0
304,24,65,1479, 43.5,143,0
305,24,65,1737, 27.5,146,0
306,24,65,2129, 19.2,148,0
307,24,65,1374, 47.1,150,0
308,24,65,1579, 36.6,152,0
309,24,75,1305, 47.2,155,0
310,24,75,1449, 40.8,157,0
311,24,85,1526, 41.8,160,0
312,24,85,1453, 44.1,165,0
313,24,75,1468,36,168,0
314,24,85,1313, 50.8,170,0
315,24,75,1300,53,172,0
316,24,75,1646, 40.6,175,0
317,24,65,1714, 33.2,177,0
318,24,65,1685, 28.4,179,0
319,24,65,1512, 39.9,181,0
320,24,65,1612, 32.1,183,0
321,24,65,1550, 38.2,185,0
322,24,65,1518, 32.5,190,0
323,24,65,1448,40,192,0
324,24,65,1561, 46.3,194,0
325,24,65,1488, 41.9,196,0
326,24,65,1699, 27.8,199,0
327,24,55,1501, 41.4,201,0
328,24,55,1373, 56.7,203,1
329,24,45,1703, 31.4,205,0
330,24,55,1720, 29.9,210,0
331,24,45,1398, 41.9,215,0
332,24,45,1391, 51.9,218,0
333,24,45,1538, 40.2,0,0
334,24,35,1647, 31.3,3,0
335,24,35,1469, 44.8,5,0
336,24,25,1749, 25.9,8,0
337,24,45,1995, 20.5,10,0
338,24,45,1742, 27.7,13,0
339,24,35,1563, 38.2,15,0
340,24,35,1713, 32.2,17,0
341,24,25,1474, 39.4,20,0
342,24,25,1530, 32.6,22,0
343,24,25,1471, 46.5,25,0
344,24,35,1388, 48.6,27,0
345,24,35,2448, 13.8,29,0
346,24,35,1585, 32.9,32,0
347,24,35,1459, 45.2,34,0
348,24,35,1544, 40.8,37,0
349,24,45,1617, 31.7,39,0
350,24,45,1595, 34.3,41,0
351,24,45,1400, 44.3,43,0
352,24,45,1611,31,48,0
353,24,45,1507,46,51,0
354,24,35,1674,30,54,0
355,24,45,1658, 34.3,59,0
356,24,45,1623, 36.9,61,0
357,24,45,1398, 48.9,63,0
358,24,45,1517, 34.2,66,0
359,24,45,1467, 36.7,68,0
360,24,45,1567, 34.6,71,0
361,24,35,1521, 38.2,74,0
362,24,35,1596, 36.8,77,0
363,24,45,1640, 30.9,79,0
364,24,45,1438, 47.8,84,0
365,24,45,1407, 55.2,86,0
366,24,45,1353, 57.5,88,0
367,24,45,1552, 40.9,90,0
368,24,45,1569, 38.3,93,0
369,24,35,1489, 39.5,96,0
370,24,35,1587, 36.1,98,0
371,24,35,1622, 37.2,103,0
372,24,35,1604, 38.1,106,0
373,24,25,1405, 51.7,108,0
374,24,25,1412,42,111,0
375,24,25,1431,43,113,0
376,24,25,1533, 37.4,115,0
377,24,25,1401, 51.9,117,0
378,24,25,1424, 53.9,120,0
379,24,15,1754, 29.4,123,0
380,24,15,1754, 26.8,125,0
381,24,35,2564, 12.8,127,1
382,24,35,1546, 40.4,129,0
383,24,35,1335,48,131,0
384,24,35,1842,27,133,0
385,24,35,1712, 26.8,136,0
386,24,45,1414, 45.4,138,0
387,24,45,1319, 50.9,141,0
388,24,55,1249, 60.4,143,0
389,24,45,1455, 48.2,145,0
390,24,45,1408, 54.8,147,0
391,24,45,1460, 46.7,150,0
392,24,45,1491, 38.1,152,0
393,24,45,1490, 43.4,154,0
394,24,35,1350, 52.2,157,0
395,24,35,1528, 39.9,160,0
396,24,25,1571, 37.7,162,0
397,24,25,1490, 42.6,164,0
398,24,25,1774, 28.9,166,0
399,24,25,1502, 43.6,169,0
400,24,25,1392, 49.7,174,0
401,24,25,2100, 16.9,176,0
402,24,35,1722, 30.4,178,0
403,24,25,1678, 32.3,180,0
404,24,15,1273, 59.8,182,0
405,24,15,1297, 45.9,184,0
406,24,15,1350, 57.6,186,0
407,24,25,1439, 51.9,188,0
408,24,25,1600, 42.1,190,0
409,24,25,1434, 44.4,193,0
410,24,25,1459, 41.3,196,0
411,24,35,1472, 44.9,198,0
412,24,35,1429, 44.3,201,0
413,24,35,1388, 48.2,203,0
414,24,25,1573, 34.5,205,0
415,24,25,1588, 32.5,207,0
416,24,35,1511, 42.8,209,0
417,24,25,1495, 37.8,211,0
418,24,25,1394, 50.1,213,0
419,24,25,2151, 17.7,0,0
420,24,15,1501, 38.2,2,0
421,24,15,1301, 39.6,5,0
422,24,15,1657, 31.1,8,0
423,24,15,1333, 55.2,11,0
424,24,15,1484, 43.9,13,0
425,24,15,1430, 45.7,15,0
426,24,15,1665, 28.9,17,0
427,24,25,1501, 44.9,20,0
428,24,35,1496, 42.2,22,0
429,24,45,1595, 36.9,25,0
430,24,35,1208, 62.3,28,0
431,24,35,1596, 37.1,30,0
432,24,35,1446, 41.9,32,0
433,24,45,1466, 39.7,34,0
434,24,45,1848, 23.7,37,0
435,24,35,1484, 44.7,40,0
436,24,25,1493, 41.2,43,0
437,24,15,1504, 36.3,45,0
438,24,15,1538, 38.5,47,0
439,24,25,1341, 52.2,49,0
440,24,25,1535, 34.6,51,0
441,24,25,1389, 39.2,54,0
442,24,35,1393, 46.6,56,0
443,24,25,1399, 61.5,61,1
444,24,25,1469, 45.1,63,0
445,24,25,1582, 37.2,68,0
446,24,35,1793, 26.7,70,0
447,24,35,1452,39,72,0
448,24,45,1376, 59.9,74,0
449,24,35,1552, 44.9,77,0
450,24,45,1622, 37.9,79,0
451,24,45,1419, 41.7,81,0
452,24,35,1440, 46.1,84,0
453,24,25,1643,31,89,0
454,24,25,1510, 36.2,92,0
455,24,25,1468, 46.6,94,0
456,24,25,1429, 57.4,96,0
457,24,15,1478, 47.6,98,0
458,24,25,1276, 53.6,103,0
459,24,15,1486, 42.6,105,0
460,24,25,1476, 42.3,107,0
461,24,15,1431,42,109,0
462,24,25,1402, 40.2,114,0
463,24,25,1433, 43.4,116,0
464,24,25,2874, 4.2,118,1
465,24,15,1511, 35.7,120,0
466,24,15,1456, 42.9,122,0
467,24,5,1550, 41.5,125,0
468,24,5,2182, 16.5,127,0
469,24,15,1619, 31.6,129,0
470,24,15,1586, 32.7,131,0
471,24,15,1499, 44.2,134,0
472,24,15,1419, 42.4,139,0
473,24,25,1497, 41.8,144,0
474,24,25,1520,37,147,0
475,24,25,1478, 49.8,150,0
476,24,25,1380, 41.1,152,0
477,24,25,1570, 37.9,154,0
478,24,25,1468, 41.4,156,0
479,24,25,1833, 22.6,161,0
480,24,25,1323, 57.3,163,0
481,24,25,1583,32,166,0
482,24,15,1556, 39.5,168,0
483,24,15,1548, 37.4,171,0
484,24,25,1324, 56.9,173,0
485,24,25,1568, 33.7,175,0
486,24,25,1685, 30.7,177,0
487,24,25,1582, 35.9,180,0
488,24,25,1463,35,183,0
489,24,25,1584, 42.8,186,0
490,24,35,1347, 55.8,188,0
491,24,25,1459, 37.9,191,0
492,24,25,1420, 45.6,193,0
493,24,35,1404, 43.5,195,0
494,24,35,1470, 38.8,197,0
495,24,45,1326, 49.8,199,0
496,24,35,1459, 49.7,201,0
497,24,35,1530,40,206,0
498,24,25,1505, 39.2,209,0
499,24,35,1611, 30.2,211,0
500,24,35,1515, 35.1,213,0
501,24,35,1804, 27.4,215,0
502,24,45,1464, 46.2,218,0
503,24,45,1390, 43.3,221,0
504,24,45,1442, 48.1,0,0
505,24,45,1529, 41.9,3,0
506,24,45,1610,35,6,0
507,24,45,1543, 34.3,8,0
508,24,65,1445, 48.2,10,0
509,24,55,1893, 24.6,15,0
510,24,45,1415, 41.3,17,0
511,24,35,1564, 37.5,20,0
512,24,35,1479, 39.4,22,0
513,24,35,1426, 44.8,24,0
514,24,25,1428, 38.8,26,0
515,24,25,1620, 33.2,28,0
516,24,35,1715,28,30,0
517,24,35,1732, 29.9,32,0
518,24,35,1391, 58.2,34,0
519,24,45,1924, 20.6,37,0
520,24,55,2027, 19.8,39,0
521,24,45,1617, 36.2,42,0
522,24,35,1497, 35.8,44,0
523,24,35,1448, 43.7,46,0
524,24,25,1401, 45.9,49,0
525,24,25,1620, 35.4,51,0
526,24,25,1466, 45.5,53,0
527,24,45,1373, 50.6,55,0
528,24,45,1592, 35.8,57,0
529,24,35,1553, 42.4,60,0
530,24,45,1569, 36.2,63,0
531,24,45,1709, 32.2,65,0
532,24,45,1549, 34.9,68,0
533,24,35,1443, 45.4,70,0
534,24,35,1675, 29.8,72,0
535,24,35,1623, 33.4,74,0
536,24,25,1365, 52.4,76,0
537,24,25,1759, 24.8,81,0
538,24,25,1516,43,83,0
539,24,25,1499, 36.8,88,0
540,24,25,1775, 25.8,91,0
541,24,25,1473, 45.5,94,0
542,24,25,1296, 52.3,96,0
543,24,35,1803, 24.7,98,0
544,24,35,1563, 36.1,100,0
545,24,35,1831, 26.6,105,0
546,24,45,1958, 22.1,108,0
547,24,35,1809, 24.3,110,0
548,24,35,1482, 39.3,112,0
549,24,25,1332, 53.2,115,0
550,24,25,1437, 40.4,117,0
551,24,25,1698, 29.4,119,0
552,24,25,1274, 54.3,121,0
553,24,25,1622,35,123,0
554,24,25,1564,36,126,0
555,24,35,1368, 45.3,129,0
556,24,25,1539, 42.2,134,0
557,24,35,1357, 50.1,137,0
558,24,35,1433, 48.3,139,0
559,24,35,1650, 34.6,142,0
560,24,35,1503, 40.6,144,0
561,24,35,1318, 58.2,146,0
562,24,35,1678, 34.4,148,0
563,24,45,1574, 30.9,151,0
564,24,55,1529, 35.2,153,0
565,24,45,1669, 32.1,155,0
566,24,55,1570, 35.8,160,0
567,24,45,1541, 33.7,165,0
568,24,55,1680, 30.2,168,0
569,24,65,1935, 22.1,171,0
570,24,55,1596, 35.2,173,0
571,24,55,1498,41,176,0
572,24,65,1676,29,178,0
573,24,65,1351,49,181,0
574,24,75,1472,45,183,0
575,24,75,1439, 41.7,185,0
576,24,75,1410, 55.4,188,0
577,24,55,1440, 51.1,191,0
578,24,55,1591, 37.7,196,0
579,24,65,1533, 36.8,198,0
580,24,65,1700, 31.3,200,0
581,24,65,1798, 25.5,203,0
582,24,65,1394, 42.9,206,0
583,24,65,1341, 49.2,208,0
584,24,55,1697, 32.2,210,0
585,24,45,1419, 48.2,215,0
586,24,45,2001, 20.5,220,0
587,24,45,1501, 49.8,222,1
588,24,45,1623, 33.1,224,0
589,24,45,1628, 33.4,229,0
590,24,45,1491, 40.2,231,0
591,24,35,1517, 36.7,233,0
592,24,35,1525, 41.7,235,0
593,24,35,1668, 27.9,240,0
594,24,35,1312, 50.7,0,0
595,24,45,1278, 50.4,2,0
596,24,45,1330, 53.1,7,0
597,24,45,1530, 37.3,10,0
598,24,45,1428, 46.6,13,0
599,24,55,1480, 47.9,18,0
600,24,55,1616, 31.1,20,0
601,24,65,1547, 37.3,25,0
602,24,75,2194, 16.8,27,0
603,24,75,2000, 21.3,29,0
604,24,75,1336, 71.6,31,1
605,24,75,1542, 33.8,33,0
606,24,75,1693, 29.9,35,0
607,24,75,1461, 50.5,38,0
608,24,85,1565, 33.9,40,0
609,24,85,1403, 47.7,43,0
610,24,95,1629, 32.5,45,0
611,24,95,1534, 33.7,47,0
612,24,95,1553, 40.9,49,0
613,24,95,1563, 32.8,51,0
614,24,95,1634,30,53,0
615,24,85,1445, 45.2,55,0
616,24,95,1642, 30.4,58,0
617,24,95,1686, 29.1,60,0
618,24,95,1393, 43.1,65,0
619,25,5,1433, 44.2,68,0
620,25,15,1507, 44.7,73,0
621,25,15,1389, 49.6,75,0
622,25,15,1408, 45.3,78,0
623,25,25,1725,32,80,0
624,25,25,1926, 23.7,83,0
625,25,15,1509, 37.6,85,0
626,25,15,1545, 36.3,90,0
627,25,25,1533, 35.2,92,0
628,25,25,1455, 42.2,94,0
629,25,25,1335, 57.8,96,0
630,25,15,1523, 45.9,99,0
631,25,15,1460, 47.6,101,0
632,25,25,1554, 37.3,103,0
633,25,15,1419, 47.1,105,0
634,25,15,1442, 43.9,110,0
635,25,15,1507, 41.6,112,0
636,25,15,1858, 23.9,114,0
637,25,15,1463, 43.9,116,0
638,25,5,1585, 37.4,118,0
639,24,85,1536, 37.3,120,0
640,24,85,1403, 51.3,122,0
641,24,75,1515, 38.8,124,0
642,24,75,1390, 47.9,127,0
643,24,65,1226, 58.7,129,0
644,24,65,1495, 36.5,132,0
645,24,55,1608, 30.2,135,0
646,24,55,1392, 44.1,140,0
647,24,55,1461, 43.7,142,0
648,24,55,1559, 36.9,145,0
649,24,55,1400, 48.9,147,0
650,24,55,1732, 28.8,152,0
651,24,45,1611, 33.1,155,0
652,24,45,1503, 38.9,157,0
653,24,55,1391, 44.5,159,0
654,24,65,2015, 20.1,161,0
655,24,65,1683, 30.9,163,0
656,24,55,1435, 38.8,165,0
657,24,55,1732, 28.1,167,0
658,24,55,1365, 58.6,170,0
659,24,55,1562, 36.8,172,0
660,24,45,1449, 49.1,174,0
661,24,55,1700, 27.4,176,0
662,24,45,1427, 45.6,179,0
663,24,45,1479, 38.1,182,0
664,24,35,1469,44,185,0
665,24,35,1390, 47.4,187,0
666,24,35,1729, 28.1,189,0
667,24,35,1470, 43.5,191,0
668,24,35,1459, 48.5,193,0
669,24,35,1738,24,195,0
670,24,35,1471, 37.7,197,0
671,24,45,1822, 25.4,202,0
672,24,35,1554, 34.8,204,0
673,24,45,1433, 43.2,206,0
674,24,45,1449, 47.7,209,0
675,24,65,1456, 41.2,0,0
676,24,65,1424, 45.5,2,0
677,24,75,1577, 34.7,5,0
678,24,75,1478, 39.7,10,0
679,24,65,1295, 61.2,12,0
680,24,65,1372, 47.3,15,0
681,24,65,1432, 42.6,17,0
682,24,55,1656, 33.2,20,0
683,24,65,1410, 48.8,23,0
684,24,55,1874, 24.4,28,0
685,24,55,1538, 43.2,30,0
686,24,55,1636, 29.7,32,0
687,24,55,1504, 40.4,35,0
688,24,55,1531, 42.4,38,0
689,24,45,1735, 26.4,41,0
690,24,45,1354, 55.6,46,0
691,24,45,1413, 40.2,51,0
692,24,55,1563, 39.3,56,0
693,24,55,1479, 42.1,58,0
694,24,55,1477, 38.3,60,0
695,24,45,1394,50,62,0
696,24,45,1487, 45.4,64,0
697,24,45,1815, 25.3,66,0
698,24,45,1453, 39.7,69,0
699,24,45,1539, 40.2,72,0
700,24,35,1416, 39.2,74,0
701,24,45,1683, 31.6,79,0
702,24,55,1515, 40.1,82,0
703,24,55,1531, 48.3,84,0
704,24,55,1479, 40.9,87,0
705,24,55,1516, 33.7,92,0
706,24,55,1507, 38.2,94,0
707,24,65,1434, 43.3,96,0
708,24,55,1838, 27.3,99,0
709,24,45,1416, 45.9,101,0
710,24,45,1357, 49.7,104,0
711,24,35,1697, 28.1,107,0
712,24,35,1443, 46.2,110,0
713,24,35,1453, 37.6,112,0
714,24,25,1439, 46.4,114,0
715,24,25,1609, 36.2,116,0
716,24,25,1324, 59.1,118,0
717,24,25,1420, 45.8,120,0
718,24,25,1545, 36.9,125,0
719,24,35,1477,39,127,0
720,24,25,1447, 58.1,129,0
721,24,25,1809, 23.8,131,0
722,24,35,1696, 30.9,133,0
723,24,35,1427, 44.7,135,0
724,24,25,1500, 46.3,137,0
725,24,35,1390, 44.6,140,0
726,24,25,1640, 34.2,142,0
727,24,25,1628, 37.4,144,0
728,24,15,1499, 37.6,147,0
729,24,25,1425, 50.3,152,0
730,24,15,1586, 37.7,155,0
731,24,15,1471, 50.7,157,0
732,24,15,1431,53,160,0
733,24,5,1924, 22.1,163,0
734,23,95,1421,42,165,0
735,23,85,1305, 54.6,168,0
736,23,75,1557, 32.4,173,0
737,23,75,1555, 38.2,175,0
738,23,75,1474, 39.2,177,0
739,23,65,1506, 45.9,182,0
740,23,75,1390, 41.8,184,0
741,23,75,1450, 46.9,186,0
742,23,75,1513, 38.8,189,0
743,23,65,1643, 34.7,191,0
744,23,65,1361, 53.8,193,0
745,23,55,1450, 40.9,195,0
746,23,55,1451, 50.7,197,0
747,23,65,1289,62,199,1
748,23,65,1356, 48.3,201,0
749,23,55,1528, 46.3,203,0
750,23,45,1978, 22.3,208,0
751,23,55,1535, 36.8,210,0
752,23,65,1843, 24.2,212,0
753,23,75,1422, 48.7,215,0
754,23,65,1536, 40.4,217,0
755,23,75,1483, 44.3,219,0
756,23,65,1492, 43.7,222,0
757,23,65,1584, 40.4,227,0
758,23,75,1555, 33.7,229,0
759,23,65,1497, 41.7,231,0
760,23,55,1537, 36.3,233,0
761,23,55,1505, 39.4,236,0
762,23,55,1646, 34.6,238,0
763,23,55,1286, 60.5,0,0
764,23,55,1400, 47.5,3,0
765,23,65,1337, 56.5,5,0
766,23,75,1332, 53.9,7,0
767,23,65,1561, 38.3,9,0
768,23,75,1546, 31.1,11,0
769,23,75,1713, 29.3,13,0
770,23,75,1343, 44.5,15,0
771,23,65,1391, 54.4,17,0
772,23,65,1311, 58.6,19,0
773,23,65,1453,51,24,0
774,23,65,1510, 39.4,29,0
775,23,65,1448, 48.8,31,0
776,23,55,1453,46,33,0
777,23,55,1468, 39.2,35,0
778,23,55,1382, 47.5,37,0
779,23,55,1580, 32.2,39,0
